,version,precio,combustible,CV,km,lugar,año,link,modelo,marca
0,Volkswagen Polo 1.0 TSI Advance 70kW,13.49,  Gasolina,Unknown,                 36.000               ,                              Tenerife             ,2019,https://www.coches.com/coches-segunda-mano/ocasion-volkswagen-polo-10-tsi-advance-70kw-en-tenerife.htm?id=6369399,Polo,Volkswagen
1,Toyota Yaris 1.5 Active,10.5,  Gasolina,Unknown,                 62.200               ,                              Guadalajara             ,2017,https://www.coches.com/coches-segunda-mano/ocasion-toyota-yaris-15-active-en-guadalajara.htm?id=6288427,Yaris,Toyota
2,Skoda Fabia 1.4 16v Elegance 100,3.9,  Gasolina,Unknown,                 225.000               ,                              Lleida             ,2000,https://www.coches.com/coches-segunda-mano/ocasion-skoda-fabia-14-16v-elegance-100-en-lleida.htm?id=6115214,Fabia,Skoda
3,Citroen C4 Picasso 1.6e-HDi Exclusive 115,9.75,  Diesel,Unknown,                 150.000               ,                              Madrid             ,2015,https://www.coches.com/coches-segunda-mano/ocasion-citroen-c4-picasso-16e-hdi-exclusive-115-en-madrid.htm?id=6846177,C4,Citroen
4,Cupra Formentor 1.5 TSI 150,29.125,  Gasolina,Unknown,                 0               ,                              Madrid             ,2022,https://www.coches.com/km0/seminuevo-cupra-formentor-15-tsi-150-en-madrid.htm?id=6843709,Formentor,Cupra
5,Volkswagen Transp…Kombi 2.0TDI SCR BMT 4M 110kW,23.5,  Diesel,Unknown,                 90.000               ,                              Lleida             ,2016,https://www.coches.com/coches-segunda-mano/ocasion-volkswagen-transporter-kombi-20tdi-scr-bmt-4m-110kw-en-lleida.htm?id=6843251,Transp…Kombi,Volkswagen
6,Ford Fiesta 1.4 TDCi Fun,2.2,  Diesel,Unknown,                 128.000               ,                              Malaga             ,2005,https://www.coches.com/coches-segunda-mano/ocasion-ford-fiesta-14-tdci-fun-en-malaga.htm?id=6843227,Fiesta,Ford
7,Mini Mini One,6.2,  Gasolina,Unknown,                 144.000               ,                              Madrid             ,2007,https://www.coches.com/coches-segunda-mano/ocasion-mini-mini-one-en-madrid.htm?id=6835371,Mini,Mini
8,Audi A3 Sportback 1.6TDIe Attraction,8.4,  Diesel,Unknown,                 187.000               ,                              Almeria             ,2010,https://www.coches.com/coches-segunda-mano/ocasion-audi-a3-sportback-16tdie-attraction-en-almeria.htm?id=6828947,A3,Audi
9,Bmw Serie 5530dA Touring,21.3,  Diesel,Unknown,                 152.000               ,                              Madrid             ,2016,https://www.coches.com/coches-segunda-mano/ocasion-bmw-serie+5-530da-touring-en-madrid.htm?id=6828751,Serie5530dA,Bmw
10,Fiat Panda 4x4 1.3Mjt Cross,3.5,  Diesel,Unknown,                 71.000               ,                              Sevilla             ,2007,https://www.coches.com/coches-segunda-mano/ocasion-fiat-panda-4x4-13mjt-cross-en-sevilla.htm?id=6820215,Panda,Fiat
11,Ford TransitFT 300M Van 130,5.499,  Diesel,Unknown,                 1               ,                              Vizcaya             ,2007,https://www.coches.com/coches-segunda-mano/ocasion-ford-transit-ft-300m-van-130-en-vizcaya.htm?id=6798132,TransitFT,Ford
12,Audi A4 2.0TDI Advanced edition 110kW,19.45,  Diesel,Unknown,                 62.773               ,                              Sevilla             ,2016,https://www.coches.com/coches-segunda-mano/ocasion-audi-a4-20tdi-advanced-edition-110kw-en-sevilla.htm?id=6790182,A4,Audi
13,Kia Ceed 1.0 T-GDI Eco-Dynamics Concept 120,13.6,  Gasolina,Unknown,                 0               ,                              Palencia             ,2022,https://www.coches.com/km0/seminuevo-kia-ceed-10-t-gdi-eco-dynamics-concept-120-en-palencia.htm?id=6770128,Ceed,Kia
14,Nissan Qashqai 1.7dCI Acenta 4x4-I,19.5,  Diesel,Unknown,                 62.223               ,                              Sevilla             ,2019,https://www.coches.com/coches-segunda-mano/ocasion-nissan-qashqai-17dci-acenta-4x4-i-en-sevilla.htm?id=6759063,Qashqai,Nissan
15,Volkswagen T-Roc 1.0 TSI Advance,19.4,  Gasolina,Unknown,                 56.000               ,                              Madrid             ,2018,https://www.coches.com/coches-segunda-mano/ocasion-volkswagen-t-roc-10-tsi-advance-en-madrid.htm?id=6741011,T-Roc,Volkswagen
16,Volvo XC60 D4 Momentum AWD,32.9,  Diesel,Unknown,                 96.000               ,                              Sevilla             ,2018,https://www.coches.com/coches-segunda-mano/ocasion-volvo-xc60-d4-momentum-awd-en-sevilla.htm?id=6727908,XC60,Volvo
17,Kia CeedCee´d 1.4 Drive,8.9,  Gasolina,Unknown,                 106.000               ,                              Valencia             ,2013,https://www.coches.com/coches-segunda-mano/ocasion-kia-ceed-ceed-14-drive-en-valencia.htm?id=6721448,CeedCee´d,Kia
18,Ford Focus 1.6 Ti-VCT Trend,7.0,  Gasolina,Unknown,                 77.892               ,                              Madrid             ,2010,https://www.coches.com/coches-segunda-mano/ocasion-ford-focus-16-ti-vct-trend-en-madrid.htm?id=6696780,Focus,Ford
19,Mazda Mazda3 1.5 Style 77kW,15.9,  Diesel,Unknown,                 14.742               ,                              Alicante             ,2017,https://www.coches.com/coches-segunda-mano/ocasion-mazda-mazda3-15-style-77kw-en-alicante.htm?id=6675388,Mazda3,Mazda
20,Renault Clio 1.2 Limited 55kW,12.5,  Gasolina,Unknown,                 20.616               ,                              Pontevedra             ,2018,https://www.coches.com/coches-segunda-mano/ocasion-renault-clio-12-limited-55kw-en-pontevedra.htm?id=6830805,Clio,Renault
21,Renault Mégane S.T. 1.2 TCe Energy Zen 97kW,14.99,  Gasolina,Unknown,                 43.000               ,                              Zaragoza             ,2017,https://www.coches.com/coches-segunda-mano/ocasion-renault-megane-st-12-tce-energy-zen-97kw-en-zaragoza.htm?id=6829045,Mégane,Renault
22,Bmw X5 sDrive 25dA,35.9,  Diesel,Unknown,                 90.000               ,                              Madrid             ,2018,https://www.coches.com/coches-segunda-mano/ocasion-bmw-x5-sdrive-25da-en-madrid.htm?id=6828923,X5,Bmw
23,Peugeot Expert Fg. Long 2.0BlueHDi S&S Pro 120,21.9,  Diesel,Unknown,                 93.000               ,                              Madrid             ,2018,https://www.coches.com/coches-segunda-mano/ocasion-peugeot-expert-fg-long-20bluehdi-s_s-pro-120-en-madrid.htm?id=6823893,Expert,Peugeot
24,Peugeot 208 1.5 BlueHDi S&S Active Pack 100,17.995,  Diesel,Unknown,                 0               ,                              Valencia             ,2022,https://www.coches.com/km0/seminuevo-peugeot-208-15-bluehdi-s_s-active-pack-100-en-valencia.htm?id=6822601,208,Peugeot
25,Peugeot 208 1.2 Puretech S&S Active Pack 75,14.995,  Gasolina,Unknown,                 0               ,                              Valencia             ,2022,https://www.coches.com/km0/seminuevo-peugeot-208-12-puretech-s_s-active-pack-75-en-valencia.htm?id=6822591,208,Peugeot
26,Seat León 1.6TDI CR Style E-eco. S&S,5.79,  Diesel,Unknown,                 220.000               ,                              Granada             ,2010,https://www.coches.com/coches-segunda-mano/ocasion-seat-leon-16tdi-cr-style-e-eco-s_s-en-granada.htm?id=6822383,León,Seat
27,Dacia Dokker 1.5dCi Ambiance N1 66kW,11.45,  Diesel,Unknown,                 118.000               ,                              Madrid             ,2016,https://www.coches.com/coches-segunda-mano/ocasion-dacia-dokker-15dci-ambiance-n1-66kw-en-madrid.htm?id=6822279,Dokker,Dacia
28,Chrysler VoyagerGrand  2.8CRD Limited Entret. Aut.,8.9,  Diesel,Unknown,                 201.000               ,                              Almeria             ,2010,https://www.coches.com/coches-segunda-mano/ocasion-chrysler-voyager-grand--28crd-limited-entret-aut-en-almeria.htm?id=6822151,VoyagerGrand,Chrysler
29,Nissan Juke 1.6i Tekna Premium Piel 18´´,13.5,  Gasolina,Unknown,                 27.000               ,                              Tarragona             ,2014,https://www.coches.com/coches-segunda-mano/ocasion-nissan-juke-16i-tekna-premium-piel-18-en-tarragona.htm?id=6820459,Juke,Nissan
30,Mercedes Clase GLCGLC 200 4Matic 9G-Tronic,61.895,  Gasolina,Unknown,                 0               ,                              Madrid             ,2022,https://www.coches.com/km0/seminuevo-mercedes-clase+glc-glc-200-4matic-9g-tronic-en-madrid.htm?id=6820277,Clase,Mercedes
31,Mercedes Clase CC Estate 350 e,34.5,  Híbrido,Unknown,                 46.881               ,                              Barcelona             ,2018,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+c-c-estate-350-e-en-barcelona.htm?id=6819257,Clase,Mercedes
32,Land Rover Freela… Excursion 2.0 TD4 S,4.3,  Diesel,Unknown,                 259.712               ,                              Barcelona             ,2000,https://www.coches.com/coches-segunda-mano/ocasion-land+rover-freelander-excursion-20-td4-s-en-barcelona.htm?id=6819041,Rover,Land
33,Jeep Compass 2.0 Mjt Limited AWD ATX Aut. 103kW,20.8,  Diesel,Unknown,                 100.571               ,                              Barcelona             ,2018,https://www.coches.com/coches-segunda-mano/ocasion-jeep-compass-20-mjt-limited-awd-atx-aut-103kw-en-barcelona.htm?id=6819035,Compass,Jeep
34,Hyundai Kona HEV 1.6 GDI DT Maxx,21.5,  Híbrido,Unknown,                 0               ,                              Palencia             ,2022,https://www.coches.com/km0/seminuevo-hyundai-kona-hev-16-gdi-dt-maxx-en-palencia.htm?id=6818049,Kona,Hyundai
35,Ford Explorer 3.0 PHEV ST-Line AWD 450,66.0,  Híbrido,Unknown,                 5               ,                              Valladolid             ,2022,https://www.coches.com/km0/seminuevo-ford-explorer-30-phev-st-line-awd-450-en-valladolid.htm?id=6818027,Explorer,Ford
36,Hyundai Getz 1.1,2.499,  Gasolina,Unknown,                 90.000               ,                              Vizcaya             ,2004,https://www.coches.com/coches-segunda-mano/ocasion-hyundai-getz-11-en-vizcaya.htm?id=6814069,Getz,Hyundai
37,Mini Mini Cooper,4.4,  Gasolina,Unknown,                 126.000               ,                              Malaga             ,2005,https://www.coches.com/coches-segunda-mano/ocasion-mini-mini-cooper-en-malaga.htm?id=6813333,Mini,Mini
38,Peugeot 2008 1.2 PureTech S&S GT Line EAT8 130,24.5,  Gasolina,Unknown,                 0               ,                              Valladolid             ,2022,https://www.coches.com/km0/seminuevo-peugeot-2008-12-puretech-s_s-gt-line-eat8-130-en-valladolid.htm?id=6813237,2008,Peugeot
39,Seat León 1.4 TSI ACT S&S FR 150,17.9,  Gasolina,Unknown,                 51.900               ,"                              Coruña, A             ",2017,https://www.coches.com/coches-segunda-mano/ocasion-seat-leon-14-tsi-act-s_s-fr-150-en-coruna+a.htm?id=6813161,León,Seat
40,Seat León ST 1.6TDI CR S&S Style DSG 115,15.99,  Diesel,Unknown,                 91.000               ,                              Madrid             ,2018,https://www.coches.com/coches-segunda-mano/ocasion-seat-leon-st-16tdi-cr-s_s-style-dsg-115-en-madrid.htm?id=6766209,León,Seat
41,Opel Crossland X 1.2T S&S Innovation 130,14.79,  Gasolina,Unknown,                 71.000               ,                              Granada             ,2019,https://www.coches.com/coches-segunda-mano/ocasion-opel-crossland-x-12t-s_s-innovation-130-en-granada.htm?id=6765849,Crossland,Opel
42,Opel Corsa 1.4 Selective 90,10.7,  Gasolina,Unknown,                 33.730               ,                              Sevilla             ,2017,https://www.coches.com/coches-segunda-mano/ocasion-opel-corsa-14-selective-90-en-sevilla.htm?id=6763918,Corsa,Opel
43,Land Rover Range … 2.0D MHEV R-Dynamic S AWD Aut. 180,53.9,  Diesel,Unknown,                 7.424               ,                              Cadiz             ,2021,https://www.coches.com/km0/seminuevo-land+rover-range+rover+evoque-20d-mhev-r-dynamic-s-awd-aut-180-en-cadiz.htm?id=6762970,Rover,Land
44,Citroen C4 Aircro… 1.6HDI S&S Exclusive 2WD 115,15.9,  Diesel,Unknown,                 92.590               ,                              Valencia             ,2014,https://www.coches.com/coches-segunda-mano/ocasion-citroen-c4+aircross-16hdi-s_s-exclusive-2wd-115-en-valencia.htm?id=6762518,C4,Citroen
45,Seat Arona 1.0 TSI Ecomotive S&S Style 95,15.4,  Gasolina,Unknown,                 62.711               ,                              Malaga             ,2018,https://www.coches.com/coches-segunda-mano/ocasion-seat-arona-10-tsi-ecomotive-s_s-style-95-en-malaga.htm?id=6762490,Arona,Seat
46,Audi Q3 2.0 TFSI Design edition Q. S tronic,24.49,  Gasolina,Unknown,                 93.231               ,                              Albacete             ,2016,https://www.coches.com/coches-segunda-mano/ocasion-audi-q3-20-tfsi-design-edition-q-s-tronic-en-albacete.htm?id=6762404,Q3,Audi
47,Ds DS7 Crossback7 Crossback E-Tense Ligne Noire Aut. 4x2,51.5,  Híbrido,Unknown,                 2               ,                              Madrid             ,2022,https://www.coches.com/km0/seminuevo-ds-ds7+crossback-e-tense-ligne-noire-aut-4x2-en-madrid.htm?id=6762360,DS7,Ds
48,Mazda Mazda3 2.0 Style Comfort 165,17.5,  Gasolina,Unknown,                 34.356               ,                              Granada             ,2017,https://www.coches.com/coches-segunda-mano/ocasion-mazda-mazda3-20-style-comfort-165-en-granada.htm?id=6760524,Mazda3,Mazda
49,Peugeot 208 1.6 BlueHDi Active 75,9.95,  Diesel,Unknown,                 134.500               ,                              Huelva             ,2015,https://www.coches.com/coches-segunda-mano/ocasion-peugeot-208-16-bluehdi-active-75-en-huelva.htm?id=6759087,208,Peugeot
50,Volkswagen Polo 1.0 TSI Beats 70kW,14.99,  Gasolina,Unknown,                 59.000               ,"                              Palmas, Las             ",2018,https://www.coches.com/coches-segunda-mano/ocasion-volkswagen-polo-10-tsi-beats-70kw-en-palmas+las.htm?id=6759015,Polo,Volkswagen
51,Renault ScénicGrand  1.5dCi Intens EDC 81kW,17.9,  Diesel,Unknown,                 43.900               ,                              Granada             ,2017,https://www.coches.com/coches-segunda-mano/ocasion-renault-scenic-grand--15dci-intens-edc-81kw-en-granada.htm?id=6758949,ScénicGrand,Renault
52,Seat Ibiza 1.0 TSI S&S Xcellence 110,15.4,  Gasolina,Unknown,                 24.045               ,                              Salamanca             ,2021,https://www.coches.com/coches-segunda-mano/ocasion-seat-ibiza-10-tsi-s_s-xcellence-110-en-salamanca.htm?id=6757809,Ibiza,Seat
53,Seat Ibiza 1.0 TSI S&S Style 110,14.3,  Gasolina,Unknown,                 13.143               ,                              Salamanca             ,2021,https://www.coches.com/coches-segunda-mano/ocasion-seat-ibiza-10-tsi-s_s-style-110-en-salamanca.htm?id=6757803,Ibiza,Seat
54,Peugeot 3008 1.2 S&S PureTech Active EAT6 130,19.849,  Gasolina,Unknown,                 99.950               ,                              Madrid             ,2018,https://www.coches.com/coches-segunda-mano/ocasion-peugeot-3008-12-s_s-puretech-active-eat6-130-en-madrid.htm?id=6757523,3008,Peugeot
55,Citroen Jumper Fg. 2.2BlueHDi 33 L2H2 S&S 120,23.7,  Diesel,Unknown,                 14.153               ,                              Vizcaya             ,2020,https://www.coches.com/coches-segunda-mano/ocasion-citroen-jumper-fg-22bluehdi-33-l2h2-s_s-120-en-vizcaya.htm?id=6756463,Jumper,Citroen
56,Bmw Serie 1116d,18.9,  Diesel,Unknown,                 98.000               ,                              Lleida             ,2017,https://www.coches.com/coches-segunda-mano/ocasion-bmw-serie+1-116d-en-lleida.htm?id=6753381,Serie1116d,Bmw
57,Peugeot 508 Hybrid 360 PSE e-EAT8,48.99,  Híbrido,Unknown,                 20.571               ,                              Madrid             ,2021,https://www.coches.com/coches-segunda-mano/ocasion-peugeot-508-hybrid-360-pse-e-eat8-en-madrid.htm?id=6752807,508,Peugeot
58,Opel Astra 1.4T S/S Dynamic 150,12.99,  Gasolina,Unknown,                 99.700               ,"                              Palmas, Las             ",2017,https://www.coches.com/coches-segunda-mano/ocasion-opel-astra-14t-ss-dynamic-150-en-palmas+las.htm?id=6752717,Astra,Opel
59,Toyota Proace Van Corta 1.5D Business 100,19.7,  Diesel,Unknown,                 39.402               ,                              Vizcaya             ,2019,https://www.coches.com/coches-segunda-mano/ocasion-toyota-proace-van-corta-15d-business-100-en-vizcaya.htm?id=6751615,Proace,Toyota
60,Jaguar E-Pace 2.0D I4 S AWD Aut. 150,45.9,  Diesel,Unknown,                 7.731               ,                              Cordoba             ,2021,https://www.coches.com/km0/seminuevo-jaguar-e-pace-20d-i4-s-awd-aut-150-en-cordoba.htm?id=6512679,E-Pace,Jaguar
61,Peugeot 508 1.5BlueHDi S&S Allure Pack EAT8 130,27.99,  Diesel,Unknown,                 18.536               ,                              Cordoba             ,2021,https://www.coches.com/coches-segunda-mano/ocasion-peugeot-508-15bluehdi-s_s-allure-pack-eat8-130-en-cordoba.htm?id=6510427,508,Peugeot
62,Peugeot 208 1.2 Puretech S&S GT 100,21.4,  Gasolina,Unknown,                 5.125               ,                              Cordoba             ,2020,https://www.coches.com/km0/seminuevo-peugeot-208-12-puretech-s_s-gt-100-en-cordoba.htm?id=6510419,208,Peugeot
63,Peugeot 5008 1.5BlueHDi S&S Allure EAT8 130,29.5,  Diesel,Unknown,                 28.379               ,                              Madrid             ,2021,https://www.coches.com/coches-segunda-mano/ocasion-peugeot-5008-15bluehdi-s_s-allure-eat8-130-en-madrid.htm?id=6505513,5008,Peugeot
64,Jeep Renegade1.3 PHEV Longitude 4x4 Aut. 190,31.39,  Híbrido,Unknown,                 10               ,                              Valencia             ,2021,https://www.coches.com/km0/seminuevo-jeep-renegade-13-phev-longitude-4x4-aut-190-en-valencia.htm?id=6502927,Renegade1.3,Jeep
65,Renault Captur TCe eco2 Energy Life 90,9.995,  Gasolina,Unknown,                 86.000               ,                              Madrid             ,2016,https://www.coches.com/coches-segunda-mano/ocasion-renault-captur-tce-eco2-energy-life-90-en-madrid.htm?id=6501723,Captur,Renault
66,Volkswagen Passat Variant 2.0TDI Advance 110kW,17.99,  Diesel,Unknown,                 104.000               ,                              Guipuzcoa             ,2015,https://www.coches.com/coches-segunda-mano/ocasion-volkswagen-passat-variant-20tdi-advance-110kw-en-guipuzcoa.htm?id=6498727,Passat,Volkswagen
67,Hyundai Kona 1.0 TGDI Klass 4x2,16.99,  Gasolina,Unknown,                 20.859               ,                              Asturias             ,2021,https://www.coches.com/coches-segunda-mano/ocasion-hyundai-kona-10-tgdi-klass-4x2-en-asturias.htm?id=6496101,Kona,Hyundai
68,Citroen C4 Picasso 1.6BlueHDI S&S Feel 120,16.9,  Diesel,Unknown,                 45.000               ,                              Pontevedra             ,2018,https://www.coches.com/coches-segunda-mano/ocasion-citroen-c4-picasso-16bluehdi-s_s-feel-120-en-pontevedra.htm?id=6495655,C4,Citroen
69,Hyundai Tucson 1.6CRDI 48V NLine 4x2,27.36,  Diesel,Unknown,                 13.956               ,                              Illes Balears             ,2020,https://www.coches.com/coches-segunda-mano/ocasion-hyundai-tucson-16crdi-48v-nline-4x2-en-illes+balears.htm?id=6491997,Tucson,Hyundai
70,Citroen C4 1.2 PureTech S&S Feel Edition 130,14.99,  Gasolina,Unknown,                 27.360               ,                              Madrid             ,2018,https://www.coches.com/coches-segunda-mano/ocasion-citroen-c4-12-puretech-s_s-feel-edition-130-en-madrid.htm?id=6491319,C4,Citroen
71,Toyota Auris 90D Business,15.95,  Diesel,Unknown,                 82.936               ,                              Huelva             ,2017,https://www.coches.com/coches-segunda-mano/ocasion-toyota-auris-90d-business-en-huelva.htm?id=6491301,Auris,Toyota
72,Toyota Yaris 125 S-Edition,15.3,  Gasolina,Unknown,                 15.548               ,                              Zaragoza             ,2021,https://www.coches.com/coches-segunda-mano/ocasion-toyota-yaris-125-s-edition-en-zaragoza.htm?id=6489693,Yaris,Toyota
73,Volkswagen Golf 2.0 TSI GTI Clubsport DSG 221kW,47.9,  Gasolina,Unknown,                 3.000               ,                              Navarra             ,2021,https://www.coches.com/km0/seminuevo-volkswagen-golf-20-tsi-gti-clubsport-dsg-221kw-en-navarra.htm?id=6487265,Golf,Volkswagen
74,Bmw Serie 3318dA Gran Turismo,18.5,  Diesel,Unknown,                 99.000               ,                              Sevilla             ,2014,https://www.coches.com/coches-segunda-mano/ocasion-bmw-serie+3-318da-gran-turismo-en-sevilla.htm?id=6485279,Serie3318dA,Bmw
75,Bmw X1 sDrive 18iA,29.13,  Gasolina,Unknown,                 39.055               ,                              Illes Balears             ,2019,https://www.coches.com/coches-segunda-mano/ocasion-bmw-x1-sdrive-18ia-en-illes+balears.htm?id=6484553,X1,Bmw
76,Jaguar XF 2.0i4D R-Sport Aut. 180,48.9,  Diesel,Unknown,                 11.000               ,                              Cordoba             ,2020,https://www.coches.com/coches-segunda-mano/ocasion-jaguar-xf-20i4d-r-sport-aut-180-en-cordoba.htm?id=6479285,XF,Jaguar
77,Kia Ceed 1.0 T-GDI Eco-Dynamics Drive 100,13.5,  Gasolina,Unknown,                 57.000               ,                              Asturias             ,2019,https://www.coches.com/coches-segunda-mano/ocasion-kia-ceed-10-t-gdi-eco-dynamics-drive-100-en-asturias.htm?id=6478215,Ceed,Kia
78,Nissan X-Trail 1.3 DIG-T N-Desing 4x2 DCT,32.7,  Gasolina,Unknown,                 2.829               ,                              Valencia             ,2021,https://www.coches.com/km0/seminuevo-nissan-x-trail-13-dig-t-n-desing-4x2-dct-en-valencia.htm?id=6477123,X-Trail,Nissan
79,Seat León ST 2.0TDI CR S&S Xcellence DSG 150,17.99,  Diesel,Unknown,                 125.000               ,                              Guipuzcoa             ,2018,https://www.coches.com/coches-segunda-mano/ocasion-seat-leon-st-20tdi-cr-s_s-xcellence-dsg-150-en-guipuzcoa.htm?id=6475479,León,Seat
80,Toyota Aygo 70 x-play,10.9,  Gasolina,Unknown,                 9.614               ,                              Zaragoza             ,2021,https://www.coches.com/km0/seminuevo-toyota-aygo-70-x-play-en-zaragoza.htm?id=6473937,Aygo,Toyota
81,Audi A3 Sportback 35 TFSI Black line S tronic,27.81,  Gasolina,Unknown,                 19.898               ,                              Valencia             ,2020,https://www.coches.com/coches-segunda-mano/ocasion-audi-a3-sportback-35-tfsi-black-line-s-tronic-en-valencia.htm?id=6467563,A3,Audi
82,Peugeot 308 1.6BlueHDi S&S Active 100,12.2,  Diesel,Unknown,                 152.945               ,                              Albacete             ,2018,https://www.coches.com/coches-segunda-mano/ocasion-peugeot-308-16bluehdi-s_s-active-100-en-albacete.htm?id=6467199,308,Peugeot
83,Land Rover Range … 2.0TD4 HSE 4WD 150,26.49,  Diesel,Unknown,                 98.875               ,                              Albacete             ,2016,https://www.coches.com/coches-segunda-mano/ocasion-land+rover-range+rover+evoque-20td4-hse-4wd-150-en-albacete.htm?id=6467031,Rover,Land
84,Citroen C4 1.6BlueHDI Feel 100,12.29,  Diesel,Unknown,                 110.408               ,                              Albacete             ,2016,https://www.coches.com/coches-segunda-mano/ocasion-citroen-c4-16bluehdi-feel-100-en-albacete.htm?id=6467015,C4,Citroen
85,Mazda Mazda6 2.0 Skyactiv-G Zenith,21.6,  Gasolina,Unknown,                 41.760               ,                              Valencia             ,2019,https://www.coches.com/coches-segunda-mano/ocasion-mazda-mazda6-20-skyactiv-g-zenith-en-valencia.htm?id=6463251,Mazda6,Mazda
86,Land Rover Discov… 3.0TD6 HSE Aut.,66.485,  Diesel,Unknown,                 10.021               ,                              Valencia             ,2019,https://www.coches.com/coches-segunda-mano/ocasion-land+rover-discovery-30td6-hse-aut-en-valencia.htm?id=6459722,Rover,Land
87,Mitsubishi Outlan… PHEV Motion 4WD,25.99,  Híbrido,Unknown,                 43.000               ,                              Madrid             ,2018,https://www.coches.com/coches-segunda-mano/ocasion-mitsubishi-outlander-phev-motion-4wd-en-madrid.htm?id=6457505,Outlan…,Mitsubishi
88,Ford Focus Sportbreak 1.0 Ecoboost MHEV Active,19.7,  Gasolina,Unknown,                 12.274               ,                              Valencia             ,2021,https://www.coches.com/coches-segunda-mano/ocasion-ford-focus-sportbreak-10-ecoboost-mhev-active-en-valencia.htm?id=6443915,Focus,Ford
89,Ford Focus 1.0 Ecoboost ST Line 125,16.9,  Gasolina,Unknown,                 37.541               ,                              Valencia             ,2019,https://www.coches.com/coches-segunda-mano/ocasion-ford-focus-10-ecoboost-st-line-125-en-valencia.htm?id=6443903,Focus,Ford
90,Peugeot 308 CC 1.6 THP,10.55,  Gasolina,Unknown,                 96.000               ,                              Barcelona             ,2009,https://www.coches.com/coches-segunda-mano/ocasion-peugeot-308-cc-16-thp-en-barcelona.htm?id=6427323,308,Peugeot
91,Audi A4 2.0TDI Design edition S tronic 140kW,25.5,  Diesel,Unknown,                 80.000               ,                              Navarra             ,2017,https://www.coches.com/coches-segunda-mano/ocasion-audi-a4-20tdi-design-edition-s-tronic-140kw-en-navarra.htm?id=6415495,A4,Audi
92,Hyundai Tucson 1.6CRDI 48V NLine X 4x2 DT,27.5,  Diesel,Unknown,                 25.000               ,                              Madrid             ,2019,https://www.coches.com/coches-segunda-mano/ocasion-hyundai-tucson-16crdi-48v-nline-x-4x2-dt-en-madrid.htm?id=6407987,Tucson,Hyundai
93,Nissan Pulsar 1.5 dCi Acenta,10.9,  Diesel,Unknown,                 150.000               ,                              Valencia             ,2017,https://www.coches.com/coches-segunda-mano/ocasion-nissan-pulsar-15-dci-acenta-en-valencia.htm?id=6403877,Pulsar,Nissan
94,Hyundai Tucson 1.6 GDI BD Essence 4x2,15.595,  Gasolina,Unknown,                 52.000               ,                              Madrid             ,2019,https://www.coches.com/coches-segunda-mano/ocasion-hyundai-tucson-16-gdi-bd-essence-4x2-en-madrid.htm?id=6389723,Tucson,Hyundai
95,Bmw Serie 1116d,19.9,  Diesel,Unknown,                 96.695               ,                              Toledo             ,2018,https://www.coches.com/coches-segunda-mano/ocasion-bmw-serie+1-116d-en-toledo.htm?id=6385745,Serie1116d,Bmw
96,Seat León 1.5 eTSI S&S FR DSG-7 150,24.985,  Gasolina,Unknown,                 15               ,                              Barcelona             ,2021,https://www.coches.com/km0/seminuevo-seat-leon-15-etsi-s_s-fr-dsg-7-150-en-barcelona.htm?id=6374371,León,Seat
97,Hyundai i30 1.6CRDi Klass Max 95,10.795,  Diesel,Unknown,                 77.000               ,                              Madrid             ,2017,https://www.coches.com/coches-segunda-mano/ocasion-hyundai-i30-16crdi-klass-max-95-en-madrid.htm?id=6368893,i30,Hyundai
98,Bmw X5 xDrive 30dA,66.0,  Diesel,Unknown,                 83.000               ,                              Toledo             ,2018,https://www.coches.com/coches-segunda-mano/ocasion-bmw-x5-xdrive-30da-en-toledo.htm?id=6357235,X5,Bmw
99,Renault Zoe Zen 50 R135 100kW,31.3,  Eléctrico,Unknown,                 2.500               ,                              Asturias             ,2021,https://www.coches.com/km0/seminuevo-renault-zoe-zen-50-r135-100kw-en-asturias.htm?id=6346943,Zoe,Renault
100,Mg HSe 1.5 T-GDI Luxury,33.5,  Híbrido,Unknown,                 0               ,                              Valladolid             ,2021,https://www.coches.com/km0/seminuevo-mg-hs-e-15-t-gdi-luxury-en-valladolid.htm?id=6346565,HSe,Mg
101,Mg HSe 1.5 T-GDI Luxury,33.5,  Híbrido,Unknown,                 0               ,                              Valladolid             ,2021,https://www.coches.com/km0/seminuevo-mg-hs-e-15-t-gdi-luxury-en-valladolid.htm?id=6346503,HSe,Mg
102,Citroen Berlingo Furgón Electric,13.3,  Eléctrico,Unknown,                 28.434               ,                              Alicante             ,2016,https://www.coches.com/coches-segunda-mano/ocasion-citroen-berlingo-furgon-electric-en-alicante.htm?id=6340715,Berlingo,Citroen
103,Seat León ST 1.8 TSI S&S FR DSG7 180,16.99,  Gasolina,Unknown,                 106.000               ,                              Madrid             ,2015,https://www.coches.com/coches-segunda-mano/ocasion-seat-leon-st-18-tsi-s_s-fr-dsg7-180-en-madrid.htm?id=6336595,León,Seat
104,Audi A4 35 TDI S line S tronic 110kW,26.9,  Diesel,Unknown,                 71.950               ,"                              Coruña, A             ",2019,https://www.coches.com/coches-segunda-mano/ocasion-audi-a4-35-tdi-s-line-s-tronic-110kw-en-coruna+a.htm?id=6334915,A4,Audi
